,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1500,9.564183197602695,-0.010105998194716775,2.784396513303121,0.07231321572206724,0.062207216886469185,0.9686622885939402,0.19703838229179382,1.000479542139249,20000,15,0,13.332311153411865,0.0
1,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1592,12.241889462165435,-0.011712387768933788,2.6992141882578533,0.0962130301584227,0.08450064187188848,1.1510043286742309,0.24036090075969696,1.0004714075571453,40000,39,1,25.111815690994263,0.0
2,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1561,14.450837092584095,-0.012093457223799748,2.6434544881184894,0.17985881332021494,0.16776535671789392,1.3548137153570468,0.29697778820991516,0.9998757230165677,60000,64,2,38.41700625419617,0.0
3,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1538,16.59615152724389,-0.011500552065001848,2.5896855039474294,0.3387298644735263,0.3272293132270137,1.6729266937344502,0.39283496141433716,0.9979074978675597,80000,91,3,51.98532319068909,0.0
4,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1538,19.858583913093845,-0.008678788892948666,2.488226718780322,0.7946368070749136,0.7859580168022942,2.4461260037162367,0.5166853666305542,1.0002076378999611,100000,133,4,64.9879903793335,0.0
5,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1509,22.3568134357785,-0.008755511853796168,2.4177794652107436,1.493648136808322,1.4848926283610173,3.658949264234457,0.8076902031898499,1.0004666179418564,120000,184,5,79.4845724105835,0.0
6,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1446,16.6675566057871,-0.006931593722233979,2.3479810118675233,3.5196629426418204,3.5127313373944697,5.979744836688042,0.6853343844413757,1.0003205539324345,140000,296,6,96.81132674217224,0.0
7,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1432,25.538261096005975,-0.007460109207134407,2.2758153279622397,3.9196466534565655,3.9121865348938183,9.603663531633524,1.1872239112854004,1.0011471911118581,160000,385,7,111.67278790473938,0.0
8,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1432,31.521681197260417,-0.0079897207655729,2.164942462016375,6.60306565944965,6.595075941085815,13.623058106960395,1.4509354829788208,0.9998250877245879,180000,492,8,125.6854453086853,0.0
9,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1437,42.747106289247505,-0.006447452310329446,2.0992356887230508,8.853602700355726,8.847155224971281,21.540478613743414,2.0885772705078125,0.9990373908709257,200000,596,9,139.09780168533325,0.0
10,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1431,62.771247986981734,-0.004132998721578564,1.9829134765343788,13.805664428075154,13.801531445674406,41.01571310483492,3.1381523609161377,1.0005040471370403,220000,696,10,153.66344714164734,0.0
11,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1426,74.86303548321054,-0.008071572167010835,1.8964763453373543,18.83532840777666,18.827256838480633,57.00424163524921,3.1124608516693115,1.001249230824984,240000,798,11,168.27199292182922,0.0
12,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1426,81.88825930976373,-0.007085584893297308,1.7831644623707503,29.417580775725536,29.410495220086514,88.81232839242006,3.779322624206543,0.9994247419711871,260000,910,12,182.3070900440216,0.01
13,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1424,93.36102187273156,-0.006961500521104496,1.683994183326379,42.3984501569699,42.39148857410137,136.34549556634366,4.019073486328125,0.9995933203360974,280000,1027,13,196.6169867515564,0.01
14,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1422,98.1187006549781,-0.007189218260538884,1.6044474389308538,55.48820179425753,55.481012420165236,198.65871512584198,3.8925163745880127,1.0000652673152777,300000,1146,14,210.8855426311493,0.01
15,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1420,113.60760994735921,-0.005873590132866341,1.522626502544452,63.686184310913085,63.68031072372045,273.27593018947505,4.192322731018066,1.0005817925318694,320000,1264,15,225.27652215957642,0.02
16,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1418,135.17640063700313,-0.001754111593039945,1.5194532241576757,68.03805023095546,68.03629609621488,302.99487420106544,3.852694511413574,0.9994436332048514,340000,1366,16,239.70200419425964,0.04
17,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1412,140.18062086998904,-0.0015830184273326244,1.4886766331318098,79.684687208518,79.68310407980894,337.8825209397536,3.3884761333465576,1.0008490876509593,360000,1474,17,254.8326494693756,0.04
18,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1409,131.17159373810756,-0.0024619407602585854,1.432521942945627,90.64268698080993,90.64022498008532,383.3026985168457,2.2463159561157227,1.0000493122216982,380000,1589,18,269.6295802593231,0.01
19,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1403,139.41851320819163,-0.0033078043196254816,1.3840382325343596,94.24809896028958,94.24479125096248,410.0721511547382,1.9647248983383179,0.9988971922642146,400000,1701,19,285.0122754573822,0.03
20,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1400,140.11399357569704,0.002015882918539529,1.2428466469813615,92.3311741902278,92.33319003765399,471.8065576602251,2.1451919078826904,1.000233812133471,420000,1821,20,299.9676809310913,0.03
21,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1394,133.7249665939177,-0.0005631193321628066,1.1479581281160698,105.95569921151186,105.95513606927334,555.9839291303585,1.5541937351226807,1.0000584068970801,440000,1954,21,315.48916935920715,0.07
22,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1389,137.3857625182498,-0.0013271693653689744,1.0786280306485982,101.59318128243471,101.59185405144325,584.4658711555677,1.6108555793762207,0.9994614251149007,460000,2088,22,331.0604774951935,0.03
23,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1384,128.677889898553,2.4245588037257013e-05,1.0711223570200112,104.62316237229567,104.62318651737311,658.8698102510892,0.768340528011322,0.9992846424763019,480000,2224,23,346.5904037952423,0.03
24,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1379,131.7935342926445,-0.0005873538279093993,1.0160166019812609,126.49492209018806,126.49433529193584,742.0615632472894,0.6431674361228943,0.9996103431933966,500000,2364,24,362.38047671318054,0.03
25,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1376,122.86031119229081,0.0021843932404851493,0.9751620121491261,102.63906882359431,102.64125332954602,737.9663153623924,-0.26189160346984863,0.9998878680742704,520000,2508,25,377.83802342414856,0.0
26,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1371,121.22917464952711,8.948583108110305e-05,0.9033209504225315,107.31925925230368,107.31934863848564,771.29287891877,-0.21377846598625183,0.9994932517027244,540000,2657,26,393.80058002471924,0.01
27,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1366,128.5172761653012,0.0013517526873888877,0.8394020736981661,100.50340583507831,100.50475731874124,858.3256024091671,-0.21707895398139954,0.9996749433187339,560000,2808,27,409.93647360801697,0.02
28,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1361,117.22263823893374,-0.0007848974556112901,0.7724858101361837,106.48714407896384,106.48635942508012,989.8241013746995,-0.379856139421463,0.999672958178398,580000,2970,28,425.92289423942566,0.02
29,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1360,134.6777705149487,0.004309066353986661,0.7827553713168853,99.07666368239965,99.08097256391477,953.8354911608574,0.7639914155006409,1.0006584424238938,600000,3117,29,440.9689567089081,0.01
30,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1356,126.11163889013832,0.0019613507639568966,0.8246981390011616,114.773497850467,114.77545920151931,1138.0808024479793,-0.18066978454589844,0.9997771794979389,620000,3270,30,456.9076261520386,0.03
31,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1353,118.89808592895703,0.00222153825363001,0.7787295200121709,100.40556973677415,100.4077913186489,1113.757403055827,-0.6982038021087646,1.000332211683958,640000,3426,31,472.87969613075256,0.0
32,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1350,128.84990934414182,0.0019296453609011876,0.7807902703682582,118.94110782329852,118.94303767864521,1213.9073666694837,-0.641545295715332,0.9997501687361644,660000,3585,32,488.75299882888794,0.02
33,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1347,130.06196499888,0.0012487122675594992,0.7425832587939042,90.07697345048953,90.07822215740498,1106.2478246835562,0.8936728239059448,0.9997291217247645,680000,3735,33,504.7149693965912,0.03
34,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1345,122.69458168290502,0.0016885574877214355,0.6344863592814176,103.64103957934257,103.64272828713442,1278.1121220124073,-0.34113842248916626,0.9995097814462124,700000,3894,34,520.3201372623444,0.01
35,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1343,129.32210727515528,0.0034427084598857433,0.5751627490306512,99.37664978809846,99.38009234697391,1335.760021111904,0.9161854386329651,0.9999830553164849,720000,4051,35,535.9440343379974,0.04
36,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1339,133.75151127814289,0.004904218244318588,0.5555081914250667,106.5505847246219,106.555489163521,1405.3957538311297,1.227705478668213,1.0002054802118203,740000,4203,36,552.288090467453,0.02
37,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1336,128.63486959843723,-0.0004269743063606513,0.5533621865969438,132.1082339653602,132.10780727679912,1368.844891826923,1.154057502746582,0.9993110201297662,760000,4358,37,568.5745370388031,0.02
38,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1334,139.72249059558413,0.0013703558886519226,0.49202746550242105,130.45177562420184,130.4531461177728,1435.4867963350737,1.3300023078918457,0.9996594079794028,780000,4514,38,584.679502248764,0.01
39,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1332,137.33064355029208,0.0038998550639893765,0.4600468970262087,121.42355866065392,121.42745828873072,1371.7656588040866,1.1167724132537842,0.999477763282947,800000,4668,39,600.5329358577728,0.05
40,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1328,139.4778667981176,0.0036741168208372517,0.4587275373630035,118.9889106065799,118.99258432632837,1661.1186990199944,0.8393951654434204,0.9999420416660798,820000,4828,40,617.0638935565948,0.02
41,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1325,136.31739065074777,0.0002970817803333585,0.48568129753455136,113.79382460178473,113.79412162976388,1705.408845715645,1.074106216430664,0.9998283345729877,840000,4986,41,633.7253284454346,0.03
42,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1323,136.66831416881558,0.004214340598226931,0.4615772906786356,122.19217573312612,122.19639021066519,1841.9353827452048,1.2531572580337524,0.9989790917971195,860000,5141,42,649.7913963794708,0.04
43,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1321,133.94524259314952,0.004909620280616368,0.4534648332840357,104.52462330353566,104.52953295585436,1616.6446620060847,1.3144257068634033,0.9993697190896059,880000,5299,43,665.9329259395599,0.07
44,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1319,141.56410554054577,-1.9782654439600613e-05,0.4780685285727183,131.123962304531,131.12394231160482,1777.2310204921625,0.8074466586112976,1.0006249809876466,900000,5456,44,681.85111951828,0.07
45,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1317,134.17174258543344,0.0018898515159097046,0.42603258868822685,130.44085065401518,130.44274045504056,1877.4599842560597,0.9302340745925903,1.0002985344483302,920000,5615,45,698.0636777877808,0.04
46,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1316,143.01740481589496,0.0018872060562269046,0.3581454546405719,137.07451858520508,137.07640555944198,2121.9531539916993,1.6931406259536743,0.9997141167139396,940000,5767,46,714.0971527099609,0.06
47,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1314,134.51232183788753,0.002162956663717826,0.2727528915191308,157.6493120927077,157.65147521190156,2021.53346479367,0.4336759150028229,1.0001003449543928,960000,5928,47,730.2845537662506,0.08
48,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1311,141.71157843693848,0.005069969830294259,0.2519560674444223,132.1787064381135,132.1837762881548,1907.0783318935296,1.5431714057922363,1.000066322241074,980000,6083,48,746.9536728858948,0.02
49,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1310,141.36156312289685,0.00023573534801984443,0.25663841764132184,146.22407601185333,146.22431203402004,2044.0182818290514,1.2528575658798218,0.9997836686097659,1000000,6247,49,763.2981576919556,0.07
50,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-20Env-v0/ppo,1307,143.03299670522287,0.0016006831240911897,0.23624439911964612,139.9731482579158,139.97474899291993,2184.777882033128,1.640206217765808,0.9996983806292216,1020000,6404,50,779.9358451366425,0.07
