,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,reward
0,Pendulum-v1,1567,-1297.1835428569623,1199,6,0.7647430896759033,10.644075393676758,0.551606297492981,-10.92753791809082,-10.913856506347656,-6.487128257751465
1,Pendulum-v1,627,-1418.420757023182,2199,11,3.505403757095337,39.24481964111328,4.330598831176758,-39.60997009277344,-39.26604080200195,-7.084522247314453
2,Pendulum-v1,507,-1331.116306953415,3199,16,6.308010578155518,62.85531997680664,23.631839752197266,-64.85771179199219,-64.04017639160156,-6.921030521392822
3,Pendulum-v1,459,-1228.970630932308,4199,21,9.13033151626587,78.13279724121094,2.7879385948181152,-79.86895751953125,-79.08849334716797,-5.836914539337158
4,Pendulum-v1,435,-1209.6411221177777,5199,26,11.939727544784546,89.45127868652344,60.831600189208984,-91.61318969726562,-91.0966796875,-6.150527477264404
5,Pendulum-v1,419,-1095.8217448423854,6199,31,14.761995077133179,93.53659057617188,63.400665283203125,-95.253662109375,-95.89356994628906,-5.706668853759766
6,Pendulum-v1,409,-960.6448889365851,7199,36,17.596234798431396,87.8779296875,45.515525817871094,-88.99828338623047,-88.83232116699219,-4.898365497589111
7,Pendulum-v1,401,-867.7110015105276,8199,41,20.401877641677856,83.35018920898438,6.384089469909668,-85.09136962890625,-84.76895904541016,-4.928398609161377
8,Pendulum-v1,397,-799.9316841571319,9199,46,23.133201122283936,79.48616790771484,84.90425109863281,-82.03244018554688,-82.14024353027344,-4.52991247177124
9,Pendulum-v1,392,-742.8289097526631,10199,51,25.98442816734314,73.41960144042969,10.125301361083984,-78.13243103027344,-76.08677673339844,-3.8205108642578125
10,Pendulum-v1,388,-692.020441462442,11199,56,28.813366889953613,65.00706481933594,3.6203866004943848,-67.06238555908203,-66.569091796875,-3.390723705291748
11,Pendulum-v1,385,-652.8907784424246,12199,61,31.6202130317688,67.97455596923828,3.0013527870178223,-69.65882873535156,-69.56261444091797,-3.5069379806518555
12,Pendulum-v1,383,-619.1667921077908,13199,66,34.41659951210022,50.079811096191406,2.8331236839294434,-51.95201873779297,-51.439727783203125,-2.718101978302002
13,Pendulum-v1,381,-588.3452308984273,14199,71,37.26563620567322,55.2313232421875,235.51602172851562,-55.51230239868164,-56.43374252319336,-2.925654411315918
14,Pendulum-v1,378,-556.2716864693022,15199,76,40.10391879081726,53.66575622558594,4.483506202697754,-55.942893981933594,-55.14345932006836,-2.772034168243408
15,Pendulum-v1,377,-530.7481642424593,16199,81,42.89696264266968,41.82023620605469,3.3029403686523438,-43.38233947753906,-42.87578582763672,-2.266684055328369
16,Pendulum-v1,376,-506.967254958098,17199,86,45.65815234184265,37.56413269042969,242.78746032714844,-38.19121551513672,-38.916107177734375,-2.490124225616455
17,Pendulum-v1,375,-488.54608484906026,18199,91,48.416077613830566,48.910064697265625,2.9560656547546387,-50.416358947753906,-50.25440216064453,-2.700246572494507
18,Pendulum-v1,375,-470.6293829802448,19199,96,51.187079191207886,35.17816162109375,3.40118670463562,-36.40639114379883,-35.96099090576172,-1.9172736406326294
19,Pendulum-v1,374,-449.6017529256766,20199,101,53.964205741882324,40.828529357910156,7.537650108337402,-42.98522186279297,-41.77118682861328,-2.4243953227996826
20,Pendulum-v1,373,-387.1940819805397,21199,106,56.748454570770264,35.39360809326172,2.9475858211517334,-36.161956787109375,-36.611122131347656,-1.7978843450546265
21,Pendulum-v1,372,-317.23242614631545,22199,111,59.5348174571991,29.439950942993164,2.5009093284606934,-30.03695297241211,-30.169954299926758,-1.9565050601959229
22,Pendulum-v1,372,-267.72786749719745,23199,116,62.29869794845581,43.20667266845703,2.647624969482422,-44.55093002319336,-44.53529739379883,-2.5218021869659424
23,Pendulum-v1,371,-227.4988635880121,24199,121,65.09212136268616,39.162872314453125,4.514971733093262,-41.17497253417969,-40.52305603027344,-2.3272905349731445
24,Pendulum-v1,371,-181.45149398025376,25199,126,67.8269670009613,30.305789947509766,2.457186460494995,-32.26408386230469,-32.096412658691406,-1.9736337661743164
25,Pendulum-v1,371,-165.7988428576935,26199,131,70.56210708618164,29.585058212280273,82.93524932861328,-30.482776641845703,-30.554967880249023,-1.8468964099884033
26,Pendulum-v1,370,-166.95371595742176,27199,136,73.35848021507263,28.77104949951172,2.0738353729248047,-29.900606155395508,-29.899038314819336,-1.8061180114746094
27,Pendulum-v1,370,-165.26299324582874,28199,141,76.13932585716248,25.018985748291016,1.9311985969543457,-26.228309631347656,-26.084827423095703,-1.6445777416229248
28,Pendulum-v1,369,-161.65383886431562,29199,146,78.91885662078857,31.348541259765625,2.002194881439209,-32.76836013793945,-32.43966293334961,-1.9559046030044556
29,Pendulum-v1,369,-160.29278952134214,30199,151,81.72280955314636,27.357044219970703,2.2532811164855957,-28.007247924804688,-28.41273307800293,-1.6603641510009766
30,Pendulum-v1,369,-156.5849431536837,31199,156,84.45332646369934,28.54753303527832,2.2643327713012695,-28.936904907226562,-29.280256271362305,-1.6586833000183105
31,Pendulum-v1,369,-155.01363651173185,32199,161,87.21488308906555,31.03329086303711,1.1931002140045166,-31.919464111328125,-31.862030029296875,-1.6933296918869019
32,Pendulum-v1,368,-155.19011294943684,33199,166,90.01523518562317,26.213787078857422,144.32492065429688,-26.378366470336914,-27.096477508544922,-1.6006791591644287
33,Pendulum-v1,368,-154.24058966939964,34199,171,92.81175494194031,28.76296043395996,33.67344284057617,-29.584423065185547,-29.921228408813477,-1.9215621948242188
34,Pendulum-v1,368,-159.04969419255048,35199,176,95.58727288246155,27.310672760009766,1.9037317037582397,-27.92047691345215,-27.91468620300293,-1.5544328689575195
35,Pendulum-v1,367,-157.99705977192866,36199,181,98.37265276908875,22.46037483215332,31.295074462890625,-22.82697296142578,-23.178871154785156,-1.5793249607086182
36,Pendulum-v1,367,-160.48645594831248,37199,186,101.18479943275452,23.051462173461914,2.3762471675872803,-23.841686248779297,-23.638439178466797,-1.2805529832839966
37,Pendulum-v1,367,-161.41362292849823,38199,191,103.98801136016846,24.253250122070312,2.8905200958251953,-25.659767150878906,-25.2744197845459,-1.4113037586212158
38,Pendulum-v1,367,-164.1249946979657,39199,196,106.79026556015015,26.38776397705078,1.2903809547424316,-27.43391227722168,-27.524089813232422,-1.8519368171691895
39,Pendulum-v1,366,-168.66102827777732,40199,201,109.62399506568909,25.563922882080078,31.051076889038086,-26.26363754272461,-25.983192443847656,-1.5330530405044556
40,Pendulum-v1,366,-167.54118915457792,41199,206,112.37877869606018,25.83763885498047,1.6765954494476318,-26.268766403198242,-26.53108024597168,-1.3746907711029053
41,Pendulum-v1,366,-167.63802115534003,42199,211,115.13841700553894,23.188575744628906,3.0481977462768555,-24.278337478637695,-23.837480545043945,-1.476090431213379
42,Pendulum-v1,366,-168.86425003329555,43199,216,117.98278212547302,26.342147827148438,2.2267770767211914,-27.2672119140625,-26.884376525878906,-1.3825538158416748
43,Pendulum-v1,365,-173.36352838105947,44199,221,120.83329725265503,22.695247650146484,153.95169067382812,-22.779077529907227,-23.316883087158203,-1.2842941284179688
44,Pendulum-v1,365,-170.2824215285296,45199,226,123.65384364128113,23.229907989501953,33.87950134277344,-23.69732093811035,-24.017513275146484,-1.4431142807006836
45,Pendulum-v1,365,-164.53416698174013,46199,231,126.46772289276123,16.223609924316406,1.2139177322387695,-16.689617156982422,-16.856170654296875,-1.2486047744750977
46,Pendulum-v1,365,-165.54187342092345,47199,236,129.28452014923096,13.781055450439453,0.5925436019897461,-14.158430099487305,-14.096887588500977,-1.0053772926330566
47,Pendulum-v1,364,-164.59316649083559,48199,241,132.05435991287231,16.194934844970703,0.595996618270874,-16.79824447631836,-16.73037338256836,-1.2436515092849731
48,Pendulum-v1,364,-165.55756160810867,49199,246,134.86853051185608,18.875761032104492,1.0671391487121582,-19.259523391723633,-19.198095321655273,-1.2839176654815674
