,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,current_q1,reward
0,Pendulum-v1,15351,-1436.4968050470916,1199,6,0.07813739776611328,,,,,
1,Pendulum-v1,15048,-1321.5405017578785,2199,11,0.14614558219909668,,,,,
2,Pendulum-v1,15159,-1233.194957806445,3199,16,0.21104693412780762,,,,,
3,Pendulum-v1,14983,-1224.5131629696764,4199,21,0.28026318550109863,,,,,
4,Pendulum-v1,15018,-1220.5256263948415,5199,26,0.3461911678314209,,,,,
5,Pendulum-v1,14882,-1239.3224856569036,6199,31,0.4165377616882324,,,,,
6,Pendulum-v1,14943,-1242.3133054093955,7199,36,0.4817619323730469,,,,,
7,Pendulum-v1,14859,-1257.193029937652,8199,41,0.5517938137054443,,,,,
8,Pendulum-v1,14851,-1255.275501975242,9199,46,0.619443416595459,,,,,
9,Pendulum-v1,235,-1259.5067122686594,10199,51,43.38310742378235,-13.682241439819336,13.17920207977295,14.045015335083008,-13.38673210144043,-8.0570068359375
10,Pendulum-v1,241,-1301.660073866977,11199,56,46.41732907295227,-41.413780212402344,40.7160758972168,231.695068359375,-41.76219940185547,-8.40056037902832
11,Pendulum-v1,246,-1311.6070409019876,12199,61,49.44476127624512,-55.931861877441406,54.511810302734375,659.553955078125,-56.477333068847656,-7.973669528961182
12,Pendulum-v1,141,-1295.819222268665,13199,66,93.57008743286133,-75.2077865600586,75.42113494873047,1138.711669921875,-77.69945526123047,-7.312006950378418
13,Pendulum-v1,146,-1279.33933152737,14199,71,96.60467290878296,-89.54122161865234,89.38716888427734,1432.07470703125,-92.69258117675781,-7.330875396728516
14,Pendulum-v1,107,-1259.1254725593465,15199,76,141.34126901626587,-94.44036102294922,91.87939453125,44.36437225341797,-94.64628601074219,-6.89885139465332
15,Pendulum-v1,112,-1259.8397223167237,16199,81,144.35671639442444,-108.36036682128906,104.66262817382812,23.272300720214844,-108.15288543701172,-6.89885139465332
16,Pendulum-v1,116,-1241.4881301202652,17199,86,147.4059555530548,-117.27468872070312,113.071533203125,32.06100845336914,-116.59033203125,-6.89885139465332
17,Pendulum-v1,93,-1206.7016444416322,18199,91,194.00317192077637,-103.3975601196289,99.95401763916016,53.23759078979492,-103.14805603027344,-6.505721092224121
18,Pendulum-v1,97,-1186.2236839698044,19199,96,197.0459427833557,-111.97762298583984,108.718994140625,35.19348907470703,-111.65972900390625,-7.113258361816406
19,Pendulum-v1,81,-1163.296085590183,20199,101,246.79936814308167,-122.77218627929688,120.8154296875,50.63501739501953,-123.34126281738281,-6.1133198738098145
20,Pendulum-v1,84,-1109.6447128715283,21199,106,249.84422421455383,-125.30194091796875,122.39013671875,57.38330078125,-125.95418548583984,-5.985813140869141
21,Pendulum-v1,87,-1060.2611296633543,22199,111,252.88844394683838,-124.58380126953125,119.34144592285156,56.78644943237305,-124.39448547363281,-6.080436706542969
22,Pendulum-v1,76,-1016.597321951583,23199,116,305.04975867271423,-122.31568908691406,117.53898620605469,34.5931396484375,-121.95834350585938,-6.035090446472168
23,Pendulum-v1,78,-964.7117595533769,24199,121,308.17782068252563,-129.9807891845703,126.3841781616211,60.711700439453125,-130.2353515625,-5.78847599029541
24,Pendulum-v1,69,-912.8896508973975,25199,126,360.73896980285645,-122.12992858886719,118.30743408203125,87.77981567382812,-121.98247528076172,-5.833492279052734
25,Pendulum-v1,72,-853.4938723264277,26199,131,363.79898023605347,-109.6335678100586,104.16665649414062,50.961669921875,-109.23954010009766,-5.8949737548828125
26,Pendulum-v1,74,-796.8772754568392,27199,136,366.895667552948,-109.36483001708984,104.18472290039062,68.07472229003906,-110.32525634765625,-5.833492279052734
27,Pendulum-v1,66,-733.6031969833026,28199,141,421.74034571647644,-92.3607177734375,86.5199966430664,109.000244140625,-91.66902160644531,-4.563226699829102
28,Pendulum-v1,68,-680.2771716573989,29199,146,424.9143588542938,-84.08618927001953,80.15420532226562,52.1806755065918,-83.78128051757812,-4.504935264587402
29,Pendulum-v1,62,-623.7457150793987,30199,151,482.58845043182373,-86.44073486328125,80.41140747070312,192.44696044921875,-86.12631225585938,-4.802520751953125
30,Pendulum-v1,64,-542.1071080169282,31199,156,485.6368932723999,-86.99934387207031,78.5650863647461,41.2799072265625,-87.15936279296875,-5.423316955566406
31,Pendulum-v1,65,-478.1292365734283,32199,161,488.73231410980225,-71.09033203125,65.83273315429688,249.44149780273438,-70.48490905761719,-4.802520751953125
32,Pendulum-v1,60,-428.98169210585206,33199,166,546.7546861171722,-50.499229431152344,43.87501525878906,280.68438720703125,-49.93043518066406,-4.997153282165527
33,Pendulum-v1,62,-383.132011476361,34199,171,549.795952796936,-49.25713348388672,41.58427429199219,328.5116271972656,-47.976043701171875,-5.378466606140137
34,Pendulum-v1,57,-343.11627497784576,35199,176,609.4168214797974,-35.19153594970703,30.87803840637207,99.30345153808594,-34.74757766723633,-5.110065460205078
35,Pendulum-v1,59,-287.9342791844246,36199,181,612.5127036571503,-46.436378479003906,42.17681884765625,28.7054443359375,-46.507904052734375,-5.413163185119629
36,Pendulum-v1,60,-249.04211843964106,37199,186,615.5753586292267,-35.169525146484375,30.28833770751953,30.954383850097656,-34.941551208496094,-4.9300031661987305
37,Pendulum-v1,56,-227.79633277219645,38199,191,676.8271341323853,-30.19300079345703,24.046262741088867,576.5044555664062,-29.56940460205078,-5.305354595184326
38,Pendulum-v1,57,-195.38555786341576,39199,196,679.9392116069794,-27.08721351623535,20.351478576660156,126.00491333007812,-25.829809188842773,-5.212686538696289
39,Pendulum-v1,54,-162.59415238370713,40199,201,743.0611701011658,-24.75076675415039,21.661680221557617,3402.52197265625,-25.812530517578125,-5.718023300170898
40,Pendulum-v1,55,-153.83185704518556,41199,206,746.1399502754211,-21.346893310546875,16.03852653503418,43.06612014770508,-20.816301345825195,-5.358054161071777
41,Pendulum-v1,56,-150.12192017163443,42199,211,749.2712852954865,-18.32075309753418,14.548442840576172,49.760005950927734,-19.05683708190918,-5.358054161071777
42,Pendulum-v1,53,-156.37188966688348,43199,216,812.4065165519714,-17.506847381591797,11.590869903564453,53.157596588134766,-17.89205551147461,-5.148359298706055
43,Pendulum-v1,54,-165.97237445097844,44199,221,815.4588973522186,-16.394134521484375,10.580997467041016,23.151887893676758,-16.250713348388672,-5.148359298706055
44,Pendulum-v1,51,-162.63227874280713,45199,226,882.1832575798035,-13.045392990112305,9.211198806762695,19.380443572998047,-13.044593811035156,-5.227270603179932
45,Pendulum-v1,52,-163.25135353695615,46199,231,885.3578627109528,-4.077459335327148,0.16669464111328125,16.545503616333008,-4.226515769958496,-4.951252460479736
46,Pendulum-v1,53,-161.67482432147045,47199,236,888.4573905467987,-5.4120330810546875,0.5122981071472168,411.1857604980469,-4.298257827758789,-4.95496940612793
47,Pendulum-v1,50,-165.4169180373201,48199,241,956.5757060050964,-8.605422973632812,3.4544169902801514,575.6626586914062,-6.8366546630859375,-5.3959245681762695
48,Pendulum-v1,51,-163.95202182373745,49199,246,959.7424893379211,-1.0637787580490112,-2.9262638092041016,21.0460205078125,-0.6680111289024353,-5.06252908706665
