,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
0,Pendulum-v1,1658,-1351.5991595123812,1199,6,0.7228727340698242,9.047677993774414,0.7082546353340149,-9.192455291748047,-9.230330467224121,-9.234933853149414,-6.676523208618164
1,Pendulum-v1,673,-1438.520593205774,2199,11,3.2650160789489746,24.14760971069336,2.5323123931884766,-24.207246780395508,-24.34316635131836,-24.322063446044922,-7.268492698669434
2,Pendulum-v1,538,-1428.9462219441275,3199,16,5.937201499938965,39.494529724121094,20.079612731933594,-39.75703430175781,-39.3072509765625,-39.35796356201172,-7.0987324714660645
3,Pendulum-v1,484,-1353.3064939116946,4199,21,8.659557580947876,51.79974365234375,1.1243995428085327,-52.601661682128906,-52.116268157958984,-52.08644104003906,-6.682537078857422
4,Pendulum-v1,461,-1318.8952313925133,5199,26,11.25948429107666,64.80081176757812,37.191253662109375,-65.77726745605469,-65.59669494628906,-65.66383361816406,-6.747773170471191
5,Pendulum-v1,448,-1236.4681853924174,6199,31,13.818894386291504,73.07510375976562,80.03582000732422,-74.2662582397461,-73.71916198730469,-73.76240539550781,-6.696114540100098
6,Pendulum-v1,438,-1169.0217701522392,7199,36,16.41248106956482,79.72875213623047,162.79437255859375,-80.0550537109375,-80.75309753417969,-80.9481201171875,-6.123998641967773
7,Pendulum-v1,431,-1098.2990907197648,8199,41,19.01339364051819,85.70408630371094,63.37615966796875,-86.81880187988281,-86.74739074707031,-86.8368911743164,-5.692195415496826
8,Pendulum-v1,424,-1017.8782040996701,9199,46,21.657546043395996,85.80994415283203,202.5090789794922,-87.58148956298828,-87.91862487792969,-88.13397216796875,-5.392539024353027
9,Pendulum-v1,420,-933.4973031692978,10199,51,24.23841142654419,87.2833023071289,13.494179725646973,-90.24430084228516,-88.34685516357422,-88.45755004882812,-4.689253807067871
10,Pendulum-v1,416,-867.6901444011364,11199,56,26.87380838394165,81.72496032714844,5.552009582519531,-83.3077621459961,-82.89974975585938,-82.82327270507812,-4.254878997802734
